"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000000da8","ctb0033-RO3339",3876,3551,1996,22,-65.0411123716185,-9.52360979781705
"00000000000000000a2e","ctb0033-RO2330",2887,2770,1996,23,-62.8916651362197,-8.29139073090992
"00000000000000000bf8","ctb0033-RO2901",2771,2667,1996,23,-64.613890358789,-9.3086097814241
"00000000000000000bff","ctb0033-RO2908",3023,2897,1996,23,-64.6522207914444,-9.46722000589517
"00000000000000000c38","ctb0033-RO2965",3214,3060,1996,23,-65.9741658897489,-9.57416708556102
"00000000000000000d92","ctb0033-RO3317",2794,2697,1996,23,-64.7508338112413,-9.6108342735235
"00000000000000000d94","ctb0033-RO3319",3432,3099,1996,23,-65.0027774798621,-9.57222291750172
"00000000000000000d9c","ctb0033-RO3327",3410,2999,1996,23,-65.0197220638652,-9.44583415724285
"00000000000000000da2","ctb0033-RO3333",3619,3294,1996,23,-65.0469448757965,-9.49500020545814
"00000000000000000da3","ctb0033-RO3334",0,0,1996,23,-65.1291662401209,-9.50722260144564
"00000000000000000db2","ctb0033-RO3349",3354,2978,1996,23,-64.8352758078904,-9.40416831699945
"00000000000000000e98","ctb0033-RO3588",3442,3097,1996,23,-62.8913886719544,-8.38138876747162
"00000000000000000f9f","ctb0033-RO3894",3323,2862,1996,23,-64.2719441945055,-9.12833278493434
"00000000000000000fa1","ctb0033-RO3896",4222,3871,1996,23,-64.2511112743837,-9.17749883314963
"00000000000000000c29","ctb0033-RO2950",3046,2853,1996,24,-65.7036099333311,-9.80777938975105
"00000000000000000c3a","ctb0033-RO2967",3755,3380,1996,24,-66.0049961144325,-9.60250021365461
"00000000000000000c52","ctb0033-RO2991",3698,3486,1996,24,-66.3205577777827,-9.59416615378572
"00000000000000000c56","ctb0033-RO2995",3539,3470,1996,24,-66.4197237261103,-9.84138763439087
"00000000000000000d95","ctb0033-RO3320",3365,3104,1996,24,-64.9441670556156,-9.59694417374202
"00000000000000000e9e","ctb0033-RO3594",4370,4128,1996,24,-62.9900016917513,-8.31555459951855
"00000000000000000f09","ctb0033-RO3711",4183,3737,1996,24,-63.7627772816167,-8.91583432423238
"00000000000000000f0d","ctb0033-RO3715",3804,3360,1996,24,-64.1341668901561,-8.73444255247925
"00000000000000000a6a","ctb0033-RO2390",3232,3121,1996,25,-63.6413871736387,-8.62583222812047
"00000000000000000c0a","ctb0033-RO2919",3131,2915,1996,25,-65.4013899003328,-9.6752772019479
"00000000000000000c23","ctb0033-RO2944",3336,3088,1996,25,-65.4497220966511,-9.668610845873
"00000000000000000c36","ctb0033-RO2963",2953,2799,1996,25,-65.9813896334555,-9.46499937357056
"00000000000000000d8b","ctb0033-RO3310",3420,3308,1996,25,-64.516111190889,-9.37555426553948
"00000000000000000d97","ctb0033-RO3322",3076,2788,1996,25,-64.866110491675,-9.57277584603234
"00000000000000000d98","ctb0033-RO3323",2896,2718,1996,25,-64.7808346431289,-9.51472280941753
"00000000000000000f03","ctb0033-RO3705",4277,3737,1996,25,-64.0588883461718,-8.88944536419808
"000000000000000008dd","ctb0033-RO1894",4392,3515,1996,26,-64.442776814964,-9.19888914090301
"00000000000000000a2d","ctb0033-RO2329",3401,3349,1996,26,-62.9072229397952,-8.32055771090051
