system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
00000000000000000d97,ctb0033-RO3322,3076.0,2788.0,1996,25,"{""type"":""Point"",""coordinates"":[-64.866110491675,-9.572775846032345]}"
00000000000000000d98,ctb0033-RO3323,2896.0,2718.0,1996,25,"{""type"":""Point"",""coordinates"":[-64.78083464312891,-9.514722809417535]}"
00000000000000000f03,ctb0033-RO3705,4277.0,3737.0,1996,25,"{""type"":""Point"",""coordinates"":[-64.05888834617181,-8.889445364198084]}"
000000000000000008dd,ctb0033-RO1894,4392.0,3515.0,1996,26,"{""type"":""Point"",""coordinates"":[-64.44277681496402,-9.198889140903015]}"
00000000000000000a2d,ctb0033-RO2329,3401.0,3349.0,1996,26,"{""type"":""Point"",""coordinates"":[-62.90722293979518,-8.32055771090051]}"
00000000000000000c40,ctb0033-RO2973,3840.0,3611.0,1996,26,"{""type"":""Point"",""coordinates"":[-65.90027858529334,-9.719721062147599]}"
00000000000000000db0,ctb0033-RO3347,3116.0,2897.0,1996,26,"{""type"":""Point"",""coordinates"":[-64.84861297914128,-9.364999573345978]}"
00000000000000000db6,ctb0033-RO3353,4339.0,3812.0,1996,26,"{""type"":""Point"",""coordinates"":[-64.02722426959129,-8.894167552213686]}"
00000000000000000e9b,ctb0033-RO3591,,,1996,26,"{""type"":""Point"",""coordinates"":[-62.938610552110376,-8.357501363128309]}"
00000000000000000f21,ctb0033-RO3735,3764.0,3343.0,1996,26,"{""type"":""Point"",""coordinates"":[-63.88083198200666,-8.352779175112712]}"
00000000000000000c00,ctb0033-RO2909,3198.0,2769.0,1996,27,"{""type"":""Point"",""coordinates"":[-64.66416672316655,-9.308333317158791]}"
00000000000000000c0b,ctb0033-RO2920,3599.0,3385.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.32611135634848,-9.7358317942537]}"
00000000000000000c1a,ctb0033-RO2935,3875.0,3551.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.13138687244557,-9.744999706019584]}"
00000000000000000c20,ctb0033-RO2941,3361.0,3151.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.55416762062592,-9.645833757692003]}"
00000000000000000c2e,ctb0033-RO2955,4184.0,3857.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.60527783690051,-9.662501877429783]}"
00000000000000000c39,ctb0033-RO2966,3753.0,3423.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.93222358524022,-9.574443549826333]}"
00000000000000000c3b,ctb0033-RO2968,3509.0,2970.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.08916810367151,-9.674724273417278]}"
00000000000000000c43,ctb0033-RO2976,3093.0,2989.0,1996,27,"{""type"":""Point"",""coordinates"":[-66.63805469099017,-9.870278150116146]}"
00000000000000000c50,ctb0033-RO2989,3697.0,3424.0,1996,27,"{""type"":""Point"",""coordinates"":[-66.31194279454746,-9.7358317942537]}"
00000000000000000efe,ctb0033-RO3700,4129.0,3805.0,1996,27,"{""type"":""Point"",""coordinates"":[-63.96222395353521,-8.942499748531983]}"
