point_id,longitude,latitude,year,soc_stock_g_m2
ctb0059-CE_221,-37.7997152231486,-5.22020238680766,2013,6112
ctb0059-CE_222,-40.8602898172879,-5.3997562239742,2014,9476
ctb0059-CE_223,-40.6798188558692,-5.40033649939277,2014,5344
ctb0059-CE_224,-40.4998440450218,-5.40036455117971,2014,2801
ctb0059-CE_225,-40.3199259518194,-5.40001349430802,2014,2161
ctb0059-CE_226,-40.1401666128827,-5.39963587651689,2014,2051
ctb0059-CE_227,-39.959901630965,-5.40029120745562,2014,3538
ctb0059-CE_229,-39.5998749090357,-5.39986697480268,2014,3755
ctb0059-CE_23,-39.960221651479,-3.2397403053541,2013,1858
ctb0059-CE_230,-39.4198389824626,-5.40030756081934,2014,2731
ctb0059-CE_231,-39.2400240240492,-5.39989862778499,2014,2083
ctb0059-CE_232,-39.0602431437725,-5.40018731392286,2014,3758
ctb0059-CE_233,-38.8802810683444,-5.40000662071781,2013,4028
ctb0059-CE_234,-38.6998416890394,-5.40018851559443,2013,2422
ctb0059-CE_235,-38.5199561154627,-5.39990111816974,2013,2510
ctb0059-CE_236,-38.3403369069069,-5.39983213042087,2013,2542
ctb0059-CE_237,-38.1602182564543,-5.40009829606244,2013,3851
ctb0059-CE_238,-37.9801449194081,-5.39966888541284,2013,3590
ctb0059-CE_24,-39.7797538666049,-3.23989597513077,2013,3084
ctb0059-CE_240,-40.6796804686116,-5.57974286803588,2014,2269
ctb0059-CE_241,-40.499831875138,-5.57961418955643,2014,2342
ctb0059-CE_244,-39.9600538464136,-5.58006485210697,2014,8477
ctb0059-CE_245,-39.7800759873374,-5.57981553800571,2014,3083
ctb0059-CE_246,-39.6000003887847,-5.57956548075432,2014,3385
ctb0059-CE_247,-39.4196487646325,-5.58008366373098,2014,3290
ctb0059-CE_248,-39.2397169629696,-5.58029308718518,2014,4569
ctb0059-CE_249,-39.0599451910219,-5.58016700596233,2014,2244
ctb0059-CE_25,-39.6002951752599,-3.23975640551691,2013,1596
ctb0059-CE_250,-38.8801639334688,-5.57979599442659,2013,2384
ctb0059-CE_251,-38.7001038524891,-5.58003931975894,2013,1665
ctb0059-CE_254,-38.1602466779688,-5.57975144450652,2013,2771
ctb0059-CE_255,-40.8597468144059,-5.76006250395954,2014,2679
ctb0059-CE_256,-40.6799666247873,-5.75982520496021,2014,2074
ctb0059-CE_257,-40.5000730496497,-5.76039047273958,2014,10638
ctb0059-CE_258,-40.3199900549426,-5.75969655232068,2014,4202
ctb0059-CE_259,-40.1402578555785,-5.76001214013991,2014,5035
ctb0059-CE_26,-39.4198136472098,-3.23984767303546,2013,5338
ctb0059-CE_260,-39.9598997132608,-5.75998265378839,2014,6484
ctb0059-CE_261,-39.7800385414224,-5.7603838405883,2014,3990
ctb0059-CE_262,-39.600042500585,-5.76022184939007,2014,3120
ctb0059-CE_263,-39.4202483362119,-5.75990333375985,2014,4059
ctb0059-CE_264,-39.239980786316,-5.75996250664433,2014,2020
ctb0059-CE_265,-39.0599095906526,-5.76030840858673,2014,3555
ctb0059-CE_266,-38.8803254886832,-5.75986476691383,2014,5187
ctb0059-CE_267,-38.699685930915,-5.75972584715386,2013,2357
ctb0059-CE_269,-38.3401690405496,-5.76009244704574,2013,3505
ctb0059-CE_27,-39.2402730192878,-3.23993356332791,2013,3914
ctb0059-CE_270,-38.1599503999771,-5.759692499914,2013,963
ctb0059-CE_271,-40.8600606318703,-5.93970139524799,2014,2898
ctb0059-CE_272,-40.679925565422,-5.93967234169722,2014,2633
ctb0059-CE_273,-40.5002086714554,-5.94000839710658,2014,3393
ctb0059-CE_274,-40.319663172073,-5.93996240704732,2014,1979
ctb0059-CE_275,-40.1400982765525,-5.93983728348314,2014,5011
ctb0059-CE_276,-39.9596105700004,-5.94002623586436,2014,3618
ctb0059-CE_278,-39.6001531910963,-5.94030712232144,2014,2846
ctb0059-CE_279,-39.4200759568272,-5.94043707919198,2014,3517
ctb0059-CE_280,-39.240157065867,-5.94030929892015,2014,4964
ctb0059-CE_281,-39.060118446663,-5.93996014696996,2014,6443
ctb0059-CE_282,-38.8797992567814,-5.9402126938833,2013,1523
ctb0059-CE_284,-38.5199703590525,-5.94000834498398,2013,3716
ctb0059-CE_285,-38.3396240213814,-5.93985855220135,2013,1888
ctb0059-CE_286,-40.6798027440482,-6.11989845853925,2014,3369
ctb0059-CE_287,-40.5002334815725,-6.11996012466378,2014,4798
ctb0059-CE_288,-40.3200164437706,-6.11971906661441,2014,2506
ctb0059-CE_289,-40.1402480808276,-6.11972398065347,2014,6727
ctb0059-CE_29,-41.0400331752534,-3.41961080637838,2014,3980
ctb0059-CE_290,-39.9601715312292,-6.12032949727287,2014,5285
ctb0059-CE_291,-39.779695249781,-6.11997067707173,2014,4966
ctb0059-CE_292,-39.5999441449607,-6.12007498534847,2014,3943
ctb0059-CE_293,-39.4196175566764,-6.11988436125636,2014,4874
ctb0059-CE_294,-39.2402721474962,-6.11973222972381,2014,2692
ctb0059-CE_295,-39.0597134851566,-6.11994550037523,2014,4309
ctb0059-CE_296,-38.8795788848868,-6.12012528856623,2013,3162
ctb0059-CE_297,-38.7000509667955,-6.12012737903341,2013,3809
ctb0059-CE_298,-38.5199931350683,-6.11967094291155,2013,2902
ctb0059-CE_299,-40.6796058158542,-6.30006947895702,2014,2785
ctb0059-CE_3,-40.5000982009299,-2.88020882934461,2013,3329
ctb0059-CE_30,-40.8596256678069,-3.41986143071864,2014,11320
ctb0059-CE_300,-40.4998849345152,-6.30010170782502,2014,8073
ctb0059-CE_301,-40.3202751338328,-6.29976418183386,2014,3066
ctb0059-CE_302,-40.1402375693599,-6.29968221077508,2014,4768
ctb0059-CE_303,-39.9598735081338,-6.30009040855374,2014,4441
ctb0059-CE_304,-39.7801048343282,-6.30004642702092,2014,5629
ctb0059-CE_306,-39.4200407060421,-6.30034291460271,2014,2896
ctb0059-CE_307,-39.239684980832,-6.30029410034834,2014,4212
ctb0059-CE_308,-39.0597156676506,-6.29980295904434,2014,2710
