"point_id","year","soc_stock_g_m2","code_muni","name_muni","code_state","abbrev_state","name_state","code_region","name_region","geometry"
"ctb0033-RO2396",1996,3094,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.96222222, -8.83861111)
"ctb0033-RO2397",1996,3744,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.97666667, -8.90472222)
"ctb0033-RO2398",1996,3292,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.01444444, -8.92888889)
"ctb0033-RO2399",1996,2103,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.93666667, -8.83472222)
"ctb0033-RO2900",1996,4663,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.595, -9.28)
"ctb0033-RO2901",1996,2207,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.61388889, -9.30861111)
"ctb0033-RO2902",1996,2156,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.64944444, -9.37833333)
"ctb0033-RO2903",1996,3960,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.64944444, -9.37833333)
"ctb0033-RO2904",1996,1714,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.64638889, -9.37166667)
"ctb0033-RO2905",1996,838,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.65861111, -9.36138889)
"ctb0033-RO2906",1996,1970,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.55972222, -9.45555556)
"ctb0033-RO2907",1996,7470,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.61805556, -9.44333333)
"ctb0033-RO2908",1996,2287,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.65222222, -9.46722222)
"ctb0033-RO2909",1996,2650,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.66416667, -9.30833333)
"ctb0033-RO2910",1996,1768,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.68916667, -9.33638889)
"ctb0033-RO2911",1996,2058,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.67694444, -9.35361111)
"ctb0033-RO2912",1996,1911,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.74694444, -9.37722222)
"ctb0033-RO2913",1996,1581,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.74694444, -9.38777778)
"ctb0033-RO2914",1996,4739,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.71166667, -9.40777778)
"ctb0033-RO2915",1996,3638,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.83416667, -9.63694444)
"ctb0033-RO2916",1996,2871,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.85, -9.64472222)
"ctb0033-RO2917",1996,8600,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.36611111, -9.68583333)
"ctb0033-RO2918",1996,1904,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.43638889, -9.66583333)
"ctb0033-RO2919",1996,2407,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.40138889, -9.67527778)
"ctb0033-RO2920",1996,2613,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.32611111, -9.73583333)
"ctb0033-RO2921",1996,3634,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.29972222, -9.76972222)
"ctb0033-RO2922",1996,1357,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.29222222, -9.81027778)
"ctb0033-RO2923",1996,2115,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.27166667, -9.84944444)
