id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0033-RO3495,16,15.76,3392,3181,1996,-0.24,11,RO,Rondônia,1,Norte,1101435,Nova União,11,RO,-62.42833333|-10.89194444
ctb0033-RO3493,23,23.46,4029,3851,1996,0.460000000000001,11,RO,Rondônia,1,Norte,1101435,Nova União,11,RO,-62.495|-10.87
ctb0033-RO3494,32,30.3,4115,3899,1996,-1.7,11,RO,Rondônia,1,Norte,1101435,Nova União,11,RO,-62.5725|-10.9275
