"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"0000000000000000231e","ctb0754-15",5435,5312,1985,106,-62.3166685144789,-12.033330102829
"0000000000000000232a","ctb0754-44",5573,5063,1985,123,-61.4166703124577,-12.5500016827908
"00000000000000002270","ctb0751-148",6554,5053,1985,128,-63.5333297778106,-10.8000007197596
"00000000000000002321","ctb0754-24",0,0,1985,137,-62.583327216576,-12.6833288042888
"00000000000000002332","ctb0754-61",6629,5517,1985,190,-60.9333305128705,-12.9500008836891
"00000000000000001e68","ctb0669-PERFIL-EXTRA-5",3711,3639,1985,14,-62.23332791579,-9.69999845818821
"00000000000000001e69","ctb0669-PERFIL-EXTRA-6",3358,3287,1985,14,-62.2500004946288,-9.64999855807592
"00000000000000001e65","ctb0669-PERFIL-EXTRA-2",3294,3238,1985,15,-62.0999963351909,-9.53333063811356
"00000000000000001e67","ctb0669-PERFIL-EXTRA-4",3431,3385,1985,19,-62.0666690139175,-9.54999875785134
"00000000000000001e6b","ctb0669-PERFIL-EXTRA-8",3525,3473,1985,19,-62.23332791579,-9.68333479755148
"00000000000000001e5f","ctb0669-PERFIL-EXTRA-1",3749,3618,1985,22,-62.2500004946288,-9.46666707736455
"00000000000000001e60","ctb0669-PERFIL-EXTRA-10",3841,3782,1985,32,-62.2500004946288,-9.41666717725226
"00000000000000001e73","ctb0669-Perfil-15",3392,3306,1985,32,-62.1833324747788,-9.59999865796363
"00000000000000001e64","ctb0669-PERFIL-EXTRA-15",5715,4046,1985,33,-62.3500002948534,-9.39999905751448
"00000000000000001e75","ctb0669-Perfil-17",3879,3761,1985,35,-62.9666716750397,-9.41666717725226
"00000000000000001e7a","ctb0669-Perfil-21",3150,3114,1985,35,-61.9833284152286,-9.49999885773905
"00000000000000001e6e","ctb0669-Perfil-10",3415,3360,1985,37,-62.23332791579,-9.44999895762677
"00000000000000001e76","ctb0669-Perfil-18",3349,3288,1985,38,-62.3166685144789,-9.41666717725226
"00000000000000001e7c","ctb0669-Perfil-4",3476,3433,1985,38,-62.0500008941797,-9.49999885773905
"00000000000000001e70","ctb0669-Perfil-12",3990,3773,1985,39,-62.0999963351909,-9.38333539687775
"00000000000000001e74","ctb0669-Perfil-16",3596,3501,1985,39,-62.23332791579,-9.63333489743919
"00000000000000001e6f","ctb0669-Perfil-11",3685,3535,1985,40,-62.23332791579,-9.53333063811356
"00000000000000001e80","ctb0669-Perfil-8",3857,3488,1985,40,-62.2500004946288,-9.63333489743919
