"id","soc_stock_t_ha_observado","soc_stock_t_ha_predito","mean_prediction","median_prediction","sampling_year"
"ctb0033-RO3495",16,15.76,3392,3181,1996
"ctb0033-RO3493",23,23.46,4029,3851,1996
"ctb0033-RO3494",32,30.3,4115,3899,1996
