id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0033-RO2243,37,37.86,4742,4262,1996,0.859999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.96638889|-12.13194444
ctb0033-RO2280,37,35.5,4011,3543,1996,-1.5,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.84861111|-12.07666667
ctb0033-RO2293,39,36.74,4107,3618,1996,-2.26,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.74111111|-12.44916667
ctb0033-RO2476,43,43.57,4456,3997,1996,0.57,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.99972222|-12.5175
ctb0033-RO1690,44,43.2,5072,4261,1996,-0.799999999999997,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.59027778|-12.52638889
ctb0033-RO2241,48,46.4,4567,4458,1996,-1.6,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.82305556|-12.13194444
ctb0033-RO2468,48,46.91,3975,4066,1996,-1.09,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.91277778|-12.51916667
ctb0033-RO2473,48,47.59,4318,4142,1996,-0.409999999999997,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.95277778|-12.29777778
ctb0033-RO2487,49,49.34,5679,4415,1996,0.340000000000003,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.90944444|-12.63472222
ctb0033-RO2252,50,51.2,4792,4886,1996,1.2,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.92916667|-11.99944444
ctb0033-RO2482,51,49.78,4906,4894,1996,-1.22,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.91222222|-12.21194444
ctb0033-RO2257,52,51.14,4348,4321,1996,-0.859999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.78444444|-12.18972222
ctb0033-RO1692,53,52.53,6149,5407,1996,-0.469999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.53722222|-12.56583333
ctb0033-RO2253,53,55.02,5283,5303,1996,2.02,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.85944444|-11.99555556
ctb0033-RO2261,53,54.21,5985,5534,1996,1.21,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.73138889|-12.35583333
ctb0033-RO2471,53,52.42,4337,4121,1996,-0.579999999999998,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.95555556|-12.395
ctb0033-RO2244,54,53.03,5146,4672,1996,-0.969999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.8125|-12.14805556
ctb0033-RO2260,55,54.97,4146,4457,1996,-0.0300000000000011,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.78472222|-12.34
ctb0033-RO2233,56,57.24,5146,5223,1996,1.24,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.92916667|-12.02361111
ctb0033-RO2254,58,56.36,5398,5138,1996,-1.64,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.84694444|-12.035
ctb0033-RO2294,66,64.06,5257,5035,1996,-1.94,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.74166667|-12.40638889
ctb0033-RO2239,72,75.4,5967,6255,1996,3.40000000000001,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.87416667|-12.12805556
ctb0033-RO2256,83,83.57,6978,7043,1996,0.569999999999993,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.87805556|-12.18694444
ctb0033-RO2637,90,86.41,8367,8997,1996,-3.59,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-62.24722222|-13.10388889
ctb0033-RO2232,91,89.15,6216,6640,1996,-1.84999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.92944444|-12.06722222
ctb0033-RO2673,92,90.29,8167,8997,1996,-1.70999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-62.15361111|-12.99805556
ctb0033-RO2667,96,93.39,7981,8997,1996,-2.61,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-62.16194444|-12.99694444
ctb0033-RO2238,142,135.61,6737,5364,1996,-6.38999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.91833333|-12.13083333
