system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
00000000000000000815,ctb0033-RO1692,6149.0,5407.0,1996,53,"{""type"":""Point"",""coordinates"":[-61.53722210943763,-12.565831491530501]}"
000000000000000009e0,ctb0033-RO2253,5283.0,5303.0,1996,53,"{""type"":""Point"",""coordinates"":[-61.85944566976174,-11.995557057805309]}"
000000000000000009e9,ctb0033-RO2261,5985.0,5534.0,1996,53,"{""type"":""Point"",""coordinates"":[-61.73138920570887,-12.35583458651952]}"
00000000000000000abb,ctb0033-RO2471,4337.0,4121.0,1996,53,"{""type"":""Point"",""coordinates"":[-61.95555713386771,-12.394998871071936]}"
000000000000000009d7,ctb0033-RO2244,5146.0,4672.0,1996,54,"{""type"":""Point"",""coordinates"":[-61.81250025387106,-12.148053854732103]}"
000000000000000009e8,ctb0033-RO2260,4146.0,4457.0,1996,55,"{""type"":""Point"",""coordinates"":[-61.78472005430808,-12.340000318678737]}"
000000000000000009cc,ctb0033-RO2233,5146.0,5223.0,1996,56,"{""type"":""Point"",""coordinates"":[-61.92916817383342,-12.023609262532533]}"
000000000000000009e1,ctb0033-RO2254,5398.0,5138.0,1996,58,"{""type"":""Point"",""coordinates"":[-61.84694235040787,-12.034997806623037]}"
00000000000000000a0a,ctb0033-RO2294,5257.0,5035.0,1996,66,"{""type"":""Point"",""coordinates"":[-61.74166743363707,-12.406387415162436]}"
000000000000000009d2,ctb0033-RO2239,5967.0,6255.0,1996,72,"{""type"":""Point"",""coordinates"":[-61.87416516233916,-12.128054786507398]}"
000000000000000009e4,ctb0033-RO2256,6978.0,7043.0,1996,83,"{""type"":""Point"",""coordinates"":[-61.87805349845777,-12.186946134120255]}"
00000000000000000b60,ctb0033-RO2637,8367.0,8997.0,1996,90,"{""type"":""Point"",""coordinates"":[-62.24722247467255,-13.103888920144545]}"
000000000000000009cb,ctb0033-RO2232,6216.0,6640.0,1996,91,"{""type"":""Point"",""coordinates"":[-61.92944463809872,-12.067223729936291]}"
00000000000000000b84,ctb0033-RO2673,8167.0,8997.0,1996,92,"{""type"":""Point"",""coordinates"":[-62.15361256625756,-12.998056615742065]}"
00000000000000000b7e,ctb0033-RO2667,7981.0,8997.0,1996,96,"{""type"":""Point"",""coordinates"":[-62.16194662612645,-12.996946299579756]}"
000000000000000009d1,ctb0033-RO2238,6737.0,5364.0,1996,142,"{""type"":""Point"",""coordinates"":[-61.91833255827354,-12.130832806463694]}"
