"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000000afd","ctb0033-RO2537",4201,4143,1996,28,-61.2388904125579,-12.9200000518015
"00000000000000000b0b","ctb0033-RO2551",3682,3605,1996,29,-61.4030566769415,-12.7411098357393
"00000000000000000afe","ctb0033-RO2538",4504,4429,1996,30,-61.2636116687982,-12.8563909752741
"00000000000000000891","ctb0033-RO1817",4588,4495,1996,31,-61.0791654128234,-12.9463890118358
"00000000000000000adf","ctb0033-RO2507",3589,3440,1996,31,-60.8655566359592,-12.9249987040824
"00000000000000000ae2","ctb0033-RO2510",4932,4924,1996,33,-60.9941660285427,-12.9258325559794
"00000000000000000afc","ctb0033-RO2536",3999,3887,1996,33,-61.3149983493381,-12.8988906674145
"000000000000000007cd","ctb0033-RO1618",4641,4575,1996,34,-60.7308338158314,-12.9477757922634
"00000000000000000893","ctb0033-RO1819",4097,4044,1996,34,-61.1569455124987,-13.0711100683007
"00000000000000000af1","ctb0033-RO2525",4554,4385,1996,34,-61.1127781165643,-12.9013877640044
"00000000000000000890","ctb0033-RO1816",5031,4890,1996,35,-61.0805566523521,-12.9461125475705
"00000000000000000892","ctb0033-RO1818",4111,3984,1996,37,-61.1699973012822,-13.0919429884224
"00000000000000000873","ctb0033-RO1787",3753,3646,1996,39,-60.8208318523931,-13.0222204843507
"000000000000000007da","ctb0033-RO1632",3932,3850,1996,40,-61.1608338486173,-12.9419432880855
"000000000000000008b7","ctb0033-RO1856",4227,4175,1996,40,-61.0830537489421,-13.0474991282227
"000000000000000007c8","ctb0033-RO1613",4922,4825,1996,41,-60.7349986162153,-12.9333327639513
"00000000000000000894","ctb0033-RO1820",3978,3961,1996,41,-61.1230563444925,-13.024998504307
"00000000000000000ade","ctb0033-RO2506",4274,4052,1996,41,-60.9288892482213,-12.9602791116173
"000000000000000008b8","ctb0033-RO1857",4268,4209,1996,42,-61.0774977090295,-13.0716674559323
"00000000000000000b00","ctb0033-RO2540",3940,3819,1996,42,-61.2116676006266,-12.8794445277204
