id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,soc_stock_g_m2,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0713-84,44,42.64,3906,3758,1985,4264,-1.36,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.7667|-9.7667
ctb0751-211,46,48.85,4907,4423,1985,4885,2.85,11,RO,Rondônia,1,Norte,1100189,Pimenta Bueno,11,RO,-61.0667|-11.7667
ctb0751-204,48,47.23,4770,4622,1985,4723,-0.770000000000003,11,RO,Rondônia,1,Norte,1100304,Vilhena,11,RO,-60.38333|-11.3
ctb0754-22,48,46.8,4161,3938,1985,4680,-1.2,11,RO,Rondônia,1,Norte,1101492,São Francisco Do Guaporé,11,RO,-62.41667|-12.46667
ctb0751-209,49,48.1,4603,4571,1985,4810,-0.899999999999999,11,RO,Rondônia,1,Norte,1100098,Espigão D'oeste,11,RO,-60.75|-11.58333
ctb0751-215,49,48.96,3773,3479,1985,4896,-0.0399999999999991,11,RO,Rondônia,1,Norte,1100189,Pimenta Bueno,11,RO,-60.95|-11.95
ctb0751-23,49,50.3,5624,4547,1985,5030,1.3,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.51667|-8.483333
ctb0754-4,49,49.27,4931,4640,1985,4927,0.270000000000003,11,RO,Rondônia,1,Norte,1100080,Costa Marques,11,RO,-64.31667|-12.41667
ctb0754-9,50,51.84,3393,3319,1985,5184,1.84,11,RO,Rondônia,1,Norte,1100338,Nova Mamoré,11,RO,-64.68333|-10.45
ctb0754-7,52,52.29,4255,4014,1985,5229,0.289999999999999,11,RO,Rondônia,1,Norte,1101492,São Francisco Do Guaporé,11,RO,-63.71667|-12.2
ctb0754-86,54,52.88,4962,4709,1985,5288,-1.12,11,RO,Rondônia,1,Norte,1100031,Cabixi,11,RO,-60.78333|-13.46667
ctb0751-11,55,53.85,3897,3793,1985,5385,-1.15,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.5667|-8.6667
ctb0754-49,55,53.87,6113,5182,1985,5387,-1.13,11,RO,Rondônia,1,Norte,1100072,Corumbiara,11,RO,-61.23333|-12.8
ctb0754-69,59,57.25,6042,5143,1985,5725,-1.75,11,RO,Rondônia,1,Norte,1100064,Colorado Do Oeste,11,RO,-60.6|-13.11667
ctb0754-66,60,59.48,5625,4806,1985,5948,-0.520000000000003,11,RO,Rondônia,1,Norte,1100304,Vilhena,11,RO,-60.13333|-12.73333
ctb0754-47,62,61.6,5185,5073,1985,6160,-0.399999999999999,11,RO,Rondônia,1,Norte,1101468,Pimenteiras Do Oeste,11,RO,-61.38333|-12.65
ctb0751-147,63,61.98,4288,4240,1985,6198,-1.02,11,RO,Rondônia,1,Norte,1100700,Campo Novo De Rondônia,11,RO,-63.8|-10.68333
ctb0754-60,68,69.18,5583,4661,1985,6918,1.18000000000001,11,RO,Rondônia,1,Norte,1100072,Corumbiara,11,RO,-60.95|-12.96667
ctb0751-61,71,69.18,9583,6404,1985,6918,-1.81999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.26667|-9.75
ctb0754-13,71,70.02,4154,3981,1985,7002,-0.980000000000004,11,RO,Rondônia,1,Norte,1101492,São Francisco Do Guaporé,11,RO,-62.8|-12.2
