"id","soc_stock_t_ha_observado","soc_stock_t_ha_predito","mean_prediction","median_prediction","sampling_year","soc_stock_g_m2","latitude","longitude"
"ctb0669-Perfil-12",39,38.07,3949,3776,1985,3807,-9.383333,-62.1
"ctb0669-Perfil-16",39,39.28,3532,3476,1985,3928,-9.633333,-62.23333
"ctb0669-Perfil-11",40,41.5,3667,3551,1985,4150,-9.533333,-62.23333
"ctb0669-Perfil-8",40,39.39,3817,3397,1985,3939,-9.633333,-62.25
"ctb0669-PERFIL-EXTRA-9",41,42.11,4161,4107,1985,4211,-9.583333,-62.1
"ctb0669-Perfil-13",41,41.31,3422,3319,1985,4131,-9.383333,-62.06667
"ctb0669-Perfil-6",43,43.63,3714,3567,1985,4363,-9.383333,-62
"ctb0669-PERFIL-EXTRA-3",44,45.01,3469,3307,1985,4501,-9.533333,-62.06667
"ctb0669-Perfil-14",44,45.48,3484,3448,1985,4548,-9.383333,-62.01667
"ctb0669-Perfil-20",44,44.49,4110,3871,1985,4449,-9.566667,-62.06667
"ctb0669-Perfil-5",44,44,4211,3510,1985,4400,-9.45,-62.03333
"ctb0669-Perfil-1",45,45.85,3533,3496,1985,4585,-9.4,-62.25
"ctb0669-Perfil-7",45,43.57,3811,3580,1985,4357,-9.533333,-62.08333
"ctb0669-Perfil-19",49,50.32,3826,3762,1985,5032,-9.6,-62.15
"ctb0669-Perfil-2",49,49.57,3449,3309,1985,4957,-9.4,-62.31667
"ctb0669-PERFIL-EXTRA-7",57,56.72,3598,3476,1985,5672,-9.483333,-62.21667
"ctb0669-Perfil-3",69,70.71,3797,3694,1985,7071,-9.416667,-61.98333
"ctb0669-PERFIL-EXTRA-14",81,81.61,8072,5825,1985,8161,-9.416667,-62.06667
"ctb0669-PERFIL-EXTRA-12",166,167.96,7502,5829,1985,16796,-9.416667,-62.08333
"ctb0669-PERFIL-EXTRA-11",342,353.83,11483,9277,1985,35383,-9.533333,-62.05
"ctb0033-RO3326",2,1.77,0,0,1996,177,-9.4375,-65.01666667
"ctb0033-RO2012",3,3.22,3982,3572,1996,322,-10.7,-64.84694444
"ctb0033-RO2612",3,2.96,0,0,1996,296,-12.25694444,-61.30861111
"ctb0033-RO1066",4,4.34,3939,3744,1996,434,-12.35805556,-64.04638889
"ctb0033-RO3266",4,3.85,3454,3373,1996,385,-8.85694444,-62.0725
"ctb0033-RO1541",5,4.86,3279,3281,1996,486,-12.42333333,-60.91416667
"ctb0033-RO2254D",5,5.08,4748,4655,1996,508,-12.0340129826652,-61.8455719220803
"ctb0033-RO2327",5,5.4,3160,3086,1996,540,-8.22027778,-62.89111111
"ctb0033-RO1103",6,6.89,3342,3153,1996,689,-11.97472222,-63.09694444
"ctb0033-RO1178",6,6.67,3348,3336,1996,667,-10.34333333,-63.65277778
"ctb0033-RO1512",6,6.11,3535,3464,1996,611,-12.9775,-60.44472222
"ctb0033-RO2027",6,6.26,3457,3347,1996,626,-10.90388889,-65.18111111
"ctb0033-RO2657",6,5.66,5385,4665,1996,566,-13.52027778,-61.3975
"ctb0033-RO2663",6,6.03,5018,4663,1996,603,-13.50027778,-61.87722222
"ctb0033-RO3233",6,5.91,3472,3280,1996,591,-8.9225,-62.09361111
"ctb0033-RO3395",6,5.91,3283,3216,1996,591,-11.86027778,-61.82027778
"ctb0033-RO3501",6,5.83,3117,3080,1996,583,-10.78277778,-62.10666667
"ctb0033-RO1041",7,7.41,3249,3169,1996,741,-12.1425,-63.44805556
"ctb0033-RO1065",7,8,3300,3208,1996,800,-12.29833333,-64.05611111
"ctb0033-RO1542",7,7.07,3287,3279,1996,707,-12.42388889,-60.91388889
"ctb0033-RO1809",7,7.02,4157,4183,1996,702,-13.02805556,-60.70194444
"ctb0033-RO2174",7,7.38,5724,3634,1996,738,-11.04472222,-65.17416667
"ctb0033-RO2194",7,7.32,3829,3698,1996,732,-10.83277778,-64.91027778
"ctb0033-RO3497",7,7.54,3084,3062,1996,754,-10.90638889,-62.24388889
"ctb0033-RO1045",8,9.09,3360,3180,1996,909,-12.18527778,-63.71916667
"ctb0033-RO1063",8,7.99,3239,3159,1996,799,-12.03194444,-63.64444444
"ctb0033-RO1121",8,8.6,3275,3207,1996,860,-11.81777778,-63.10361111
"ctb0033-RO1510",8,7.67,4016,3980,1996,767,-12.88833333,-60.2175
"ctb0033-RO2058",8,8.53,3461,3405,1996,853,-10.34305556,-65.11944444
"ctb0033-RO2512",8,9.34,4529,4311,1996,934,-12.92916667,-61.03083333
"ctb0033-RO2656",8,8.38,4875,4638,1996,838,-13.485739,-61.306907
"ctb0033-RO2905",8,8.38,3491,3199,1996,838,-9.36138889,-64.65861111
"ctb0033-RO3316",8,8.65,3160,3151,1996,865,-9.57527778,-64.76777778
"ctb0033-RO3492",8,7.96,3570,3527,1996,796,-10.74083333,-62.33861111
"ctb0033-RO1069",9,9.24,3453,3245,1996,924,-12.40388889,-63.78805556
"ctb0033-RO1077",9,9,4003,3293,1996,900,-12.21944444,-63.85916667
"ctb0033-RO1123",9,8.58,3312,3206,1996,858,-11.68083333,-62.99416667
"ctb0033-RO1127",9,9.53,3291,3182,1996,953,-11.80555556,-62.88388889
"ctb0033-RO1215",9,9.27,3726,3419,1996,927,-11.80638889,-63.15638889
"ctb0033-RO1243",9,9.88,3593,3391,1996,988,-12.31111111,-63.33333333
"ctb0033-RO1536",9,9.21,3303,3280,1996,921,-12.61472222,-60.90777778
"ctb0033-RO1622",9,10.8,3721,3656,1996,1080,-12.89833333,-60.81694444
"ctb0033-RO1697",9,8.7,3913,3759,1996,870,-12.58361111,-61.36055556
"ctb0033-RO1744",9,8.61,4137,4180,1996,861,-13.07416667,-60.53111111
"ctb0033-RO2047",9,9.49,3429,3311,1996,949,-10.84527778,-65.2025
"ctb0033-RO2522",9,8.64,3741,3662,1996,864,-12.85555556,-61.03333333
"ctb0033-RO2791",9,8.56,3155,3086,1996,856,-10.965,-62.89694444
"ctb0033-RO3226",9,9.22,3686,3405,1996,922,-9.44083333,-61.84944444
"ctb0033-RO3306",9,8.98,3218,3176,1996,898,-9.52444444,-64.5275
"ctb0033-RO3394",9,9.56,3459,3405,1996,956,-11.85972222,-61.79361111
"ctb0033-RO3683",9,8.79,3208,3126,1996,879,-11.44194444,-61.65527778
"ctb0033-RO1084",10,9.61,3530,3293,1996,961,-12.05361111,-63.56638889
"ctb0033-RO1104",10,11.65,3141,3095,1996,1165,-11.88888889,-63.08388889
"ctb0033-RO1110",10,10.45,3756,3517,1996,1045,-11.87666667,-63.41722222
"ctb0033-RO1148",10,10.08,3246,3086,1996,1008,-10.0425,-63.62138889
"ctb0033-RO1529",10,10.08,3329,3271,1996,1008,-12.71916667,-60.98583333
"ctb0033-RO1544",10,9.7,3370,3348,1996,970,-12.35722222,-60.75416667
"ctb0033-RO1562",10,10.01,4118,4085,1996,1001,-12.78611111,-60.3525
"ctb0033-RO1566",10,9.94,4095,4044,1996,994,-12.77416667,-60.43527778
"ctb0033-RO1604",10,10.14,3508,3454,1996,1014,-12.37027778,-60.49027778
"ctb0033-RO2006",10,9.72,3223,3126,1996,972,-10.74527778,-65.25805556
"ctb0033-RO2034",10,10.12,3411,3316,1996,1012,-10.30666667,-65.28527778
"ctb0033-RO2077",10,10.4,3280,3206,1996,1040,-10.22166667,-65.22305556
"ctb0033-RO2248",10,10.15,3546,3384,1996,1015,-12.22055556,-61.67333333
"ctb0033-RO2379",10,9.41,4324,4237,1996,941,-8.67166667,-63.90305556
"ctb0033-RO2546",10,9.98,3382,3301,1996,998,-12.78361111,-61.40944444
"ctb0033-RO2555",10,10.08,3269,3252,1996,1008,-12.51944444,-60.885
"ctb0033-RO2604",10,10.36,3373,3375,1996,1036,-12.35555556,-61.03222222
"ctb0033-RO3374",10,9.8,3341,3225,1996,980,-11.64,-61.70222222
"ctb0033-RO3515",10,9.5,NA,NA,1996,950,-10.58444444,-61.80472222
"ctb0033-RO3553",10,10.35,3174,3127,1996,1035,-10.205,-62.36527778
"ctb0033-RO3603",10,10.33,3209,3093,1996,1033,-11.00833333,-62.86638889
"ctb0033-RO3708",10,10.55,3223,3157,1996,1055,-8.89305556,-63.85833333
"ctb0033-RO3872",10,10.14,3169,3095,1996,1014,-11.51277778,-62.38555556
"ctb0033-RO1043",11,11.01,3419,3360,1996,1101,-12.20666667,-63.44527778
"ctb0033-RO1067",11,11.07,3550,3355,1996,1107,-12.39611111,-64.01333333
"ctb0033-RO1089",11,11.26,3619,3361,1996,1126,-12.13805556,-64.32277778
"ctb0033-RO1154",11,10.82,3241,3199,1996,1082,-9.71361111,-63.62083333
"ctb0033-RO1511",11,10.86,3549,3406,1996,1086,-12.99277778,-60.40361111
"ctb0033-RO1564",11,10.76,4070,4002,1996,1076,-12.77388889,-60.41694444
"ctb0033-RO1628",11,12.06,3559,3440,1996,1206,-12.96888889,-60.80722222
"ctb0033-RO1654",11,10.58,4766,4096,1996,1058,-12.50861111,-60.38944444
"ctb0033-RO1670",11,10.76,4237,4134,1996,1076,-12.45972222,-60.15305556
"ctb0033-RO1876",11,11.2,4385,4306,1996,1120,-13.49111111,-60.76222222
"ctb0033-RO2009",11,11.23,3817,3643,1996,1123,-10.66583333,-65.00527778
"ctb0033-RO2017",11,11.08,3526,3422,1996,1108,-10.62388889,-65.10333333
"ctb0033-RO2031",11,11.73,3811,3546,1996,1173,-10.63222222,-65.28472222
"ctb0033-RO2054",11,10.43,3420,3339,1996,1043,-10.39944444,-65.29638889
"ctb0033-RO2070",11,10.98,3164,3125,1996,1098,-10.41611111,-65.25916667
"ctb0033-RO2142",11,11.2,3923,3781,1996,1120,-11.185,-65.04027778
"ctb0033-RO2191",11,10.65,3377,3318,1996,1065,-10.75361111,-64.73444444
"ctb0033-RO2514",11,11.39,4448,4305,1996,1139,-12.875,-61.02527778
"ctb0033-RO2518",11,10.66,3728,3664,1996,1066,-12.8725,-61.05472222
"ctb0033-RO2530",11,10.45,4413,4304,1996,1045,-12.7125,-61.13194444
"ctb0033-RO2649",11,10.89,8579,7616,1996,1089,-13.43333333,-61.55027778
"ctb0033-RO2831",11,11.25,3420,3373,1996,1125,-11.645,-60.91333333
"ctb0033-RO2839",11,11.1,3406,3301,1996,1110,-11.79527778,-60.80833333
"ctb0033-RO3483",11,11.57,3297,3255,1996,1157,-10.02305556,-62.52194444
"ctb0033-RO3505",11,10.72,3375,3302,1996,1072,-10.88194444,-61.97388889
"ctb0033-RO3517",11,11.56,3191,3153,1996,1156,-10.47805556,-61.91527778
"ctb0033-RO3570",11,11.31,3240,3207,1996,1131,-9.13527778,-61.82722222
"ctb0033-RO3622",11,10.75,3206,3145,1996,1075,-11.07111111,-62.50277778
"ctb0033-RO3657",11,11.63,3309,3162,1996,1163,-11.03416667,-62.1025
"ctb0033-RO3682",11,11.05,3225,3143,1996,1105,-11.4625,-61.63111111
"ctb0033-RO3780",11,10.83,3965,3821,1996,1083,-10.9375,-61.65194444
"ctb0033-RO1021",12,11.51,4018,3853,1996,1151,-12.18444444,-64.23027778
"ctb0033-RO1064",12,12.18,3283,3184,1996,1218,-11.98805556,-63.40277778
"ctb0033-RO1075",12,11.74,4142,3769,1996,1174,-12.05638889,-63.94666667
"ctb0033-RO1116",12,11.98,4122,3953,1996,1198,-12.13916667,-62.74305556
"ctb0033-RO1149",12,13.31,3196,3127,1996,1331,-10.04527778,-63.55638889
"ctb0033-RO1288",12,11.45,3648,3397,1996,1145,-12.06361111,-63.48916667
"ctb0033-RO1532",12,12.44,3787,3706,1996,1244,-12.71888889,-60.94555556
"ctb0033-RO1659",12,12.46,4653,4165,1996,1246,-12.52833333,-60.35972222
"ctb0033-RO1722",12,11.34,4495,4386,1996,1134,-13.37416667,-60.3775
"ctb0033-RO1823",12,12.21,3701,3597,1996,1221,-12.99138889,-60.89777778
"ctb0033-RO1890",12,12.09,5589,4413,1996,1209,-13.09861111,-61.24972222
"ctb0033-RO2062",12,11.84,3118,3096,1996,1184,-10.14555556,-65.21694444
"ctb0033-RO2113",12,12.23,3224,3176,1996,1223,-10.33388889,-64.65083333
"ctb0033-RO2119",12,11.42,3780,3641,1996,1142,-11.61444444,-65.07722222
"ctb0033-RO2190",12,12.56,3941,3532,1996,1256,-10.75166667,-64.73805556
"ctb0033-RO2300",12,14.04,3980,3858,1996,1404,-12.30138889,-61.53027778
"ctb0033-RO2511",12,11.55,4783,4685,1996,1155,-12.92888889,-61.01
"ctb0033-RO2519",12,11.96,4089,4000,1996,1196,-12.88027778,-61.05
"ctb0033-RO2572",12,12.01,3558,3467,1996,1201,-12.13138889,-61.25416667
"ctb0033-RO2615",12,11.71,3442,3341,1996,1171,-12.08666667,-61.29277778
"ctb0033-RO3213",12,11.16,3284,3199,1996,1116,-9.95166667,-62.17166667
"ctb0033-RO3332",12,11.92,0,0,1996,1192,-9.485,-65.07833333
"ctb0033-RO3373",12,12.01,3286,3206,1996,1201,-11.51472222,-61.69861111
"ctb0033-RO3547",12,12.61,3157,3148,1996,1261,-10.11055556,-61.98111111
"ctb0033-RO3567",12,12.49,3147,3107,1996,1249,-10.22916667,-62.28972222
"ctb0033-RO3645",12,11.63,3681,3642,1996,1163,-11.41305556,-62.37861111
"ctb0033-RO3781",12,11.74,3345,3303,1996,1174,-10.8675,-61.78694444
"ctb0033-RO3786",12,12.11,3710,3672,1996,1211,-10.87111111,-61.56444444
"ctb0033-RO3865",12,12.69,4508,4395,1996,1269,-11.78055556,-62.38472222
"ctb0033-RO3899",12,11.71,3222,3195,1996,1171,-9.19166667,-64.31861111
"ctb0033-RO0663F",13,13.42,3763,3731,1996,1342,-11.0361439704805,-62.7918443380027
"ctb0033-RO1028",13,14.49,3130,3103,1996,1449,-11.87472222,-63.54388889
"ctb0033-RO1033",13,12.76,3111,3081,1996,1276,-11.94555556,-63.79583333
"ctb0033-RO1046",13,14.55,3722,3543,1996,1455,-12.16194444,-63.72027778
"ctb0033-RO1537",13,12.7,4059,3891,1996,1270,-12.67361111,-61.13083333
"ctb0033-RO1539",13,13.08,3497,3439,1996,1308,-12.42416667,-60.97416667
"ctb0033-RO1545",13,12.16,4138,4071,1996,1216,-12.35555556,-60.91638889
"ctb0033-RO1568",13,12.63,3508,3431,1996,1263,-13.00138889,-60.46416667
"ctb0033-RO1570",13,12.42,3517,3433,1996,1242,-12.97944444,-60.44861111
"ctb0033-RO1588",13,13.35,4320,4169,1996,1335,-12.53083333,-60.35861111
"ctb0033-RO1652",13,12.99,4009,3834,1996,1299,-12.48694444,-60.49694444
"ctb0033-RO1842",13,13.02,3896,3691,1996,1302,-13.16055556,-60.30805556
"ctb0033-RO2000",13,12.82,3328,3257,1996,1282,-9.52305556,-64.44777778
"ctb0033-RO2048",13,12.81,3218,3160,1996,1281,-10.84666667,-65.1775
"ctb0033-RO2081",13,12.78,4072,3769,1996,1278,-10.74555556,-65.32722222
"ctb0033-RO2128",13,13.53,NA,NA,1996,1353,-11.80444444,-65.05777778
"ctb0033-RO2131",13,12.78,3385,3328,1996,1278,-11.75333333,-64.87888889
"ctb0033-RO2172",13,12.81,5604,3636,1996,1281,-11.04472222,-65.17444444
"ctb0033-RO2369",13,12.78,3459,3406,1996,1278,-8.93944444,-63.19083333
