"id","soc_stock_t_ha_observado","soc_stock_t_ha_predito","mean_prediction","median_prediction","sampling_year","soc_stock_g_m2","latitude","longitude"
"ctb0033-RO3775",20,23.32,3865,3792,1996,2332,-11.02,-61.68361111
"ctb0033-RO3784",20,19.53,3224,3144,1996,1953,-10.82888889,-61.59944444
"ctb0033-RO3845",20,20.17,3150,3087,1996,2017,-11.68277778,-62.75361111
"ctb0033-RO3860",20,20.34,3454,3283,1996,2034,-11.86638889,-62.52722222
"ctb0033-RO3898",20,19.66,3652,3471,1996,1966,-9.24888889,-64.34916667
"ctb0033-RO0655E",21,22.75,3281,3206,1996,2275,-10.7002453031316,-62.3068945255
"ctb0033-RO1026",21,20.57,3676,3507,1996,2057,-12.08388889,-63.83194444
"ctb0033-RO1132",21,21.79,3343,3257,1996,2179,-12.00444444,-62.7525
"ctb0033-RO1209",21,21.39,3749,3539,1996,2139,-12.45666667,-64.11805556
"ctb0033-RO1514",21,20.85,3555,3464,1996,2085,-12.95333333,-60.40444444
"ctb0033-RO1627",21,20.6,3984,3855,1996,2060,-12.96777778,-60.83194444
"ctb0033-RO1641",21,20.81,3559,3466,1996,2081,-12.71277778,-61.17361111
"ctb0033-RO1684",21,27.14,3796,3550,1996,2714,-11.59805556,-63.95055556
"ctb0033-RO2092",21,20.73,3360,3241,1996,2073,-10.765,-65.10194444
"ctb0033-RO2139",21,21.55,3448,3342,1996,2155,-11.74527778,-64.84805556
"ctb0033-RO2171",21,21.1,3562,3276,1996,2110,-11.1875,-64.88666667
"ctb0033-RO2186",21,20.55,3434,3339,1996,2055,-10.93305556,-65.06555556
"ctb0033-RO2222",21,20.72,4333,4112,1996,2072,-12.18555556,-62.00861111
"ctb0033-RO2259",21,20.3,3769,3617,1996,2030,-12.30222222,-61.78888889
"ctb0033-RO2288",21,20.83,3898,3694,1996,2083,-12.24361111,-61.63083333
"ctb0033-RO2296",21,20.6,3373,3288,1996,2060,-12.17666667,-61.52388889
"ctb0033-RO2335",21,20.81,3370,3299,1996,2081,-8.48722222,-62.98388889
"ctb0033-RO2381",21,20.27,3905,3868,1996,2027,-8.69055556,-63.70944444
"ctb0033-RO2399",21,21.03,3400,3288,1996,2103,-8.83472222,-63.93666667
"ctb0033-RO2509",21,21.37,4820,4716,1996,2137,-12.92666667,-60.97138889
"ctb0033-RO2539",21,21.6,3461,3373,1996,2160,-12.89861111,-61.235
"ctb0033-RO2602",21,20.58,3301,3239,1996,2058,-12.35916667,-60.97277778
"ctb0033-RO2634",21,20.6,3605,3432,1996,2060,-13.0475,-62.29416667
"ctb0033-RO2647",21,20.83,9139,7294,1996,2083,-13.47777778,-61.51666667
"ctb0033-RO2811",21,21.16,3378,3300,1996,2116,-11.95138889,-61.09277778
"ctb0033-RO2822",21,20.8,3698,3639,1996,2080,-11.71416667,-60.6825
"ctb0033-RO2902",21,21.56,3506,3442,1996,2156,-9.37833333,-64.64944444
"ctb0033-RO2911",21,20.58,3359,3300,1996,2058,-9.35361111,-64.67694444
"ctb0033-RO2923",21,21.15,3802,3752,1996,2115,-9.84944444,-65.27166667
"ctb0033-RO2925",21,21.13,3621,3504,1996,2113,-9.96583333,-65.2975
"ctb0033-RO2948",21,20.81,3420,3342,1996,2081,-9.82333333,-65.61083333
"ctb0033-RO2952",21,21.09,3542,3504,1996,2109,-9.74055556,-65.68527778
"ctb0033-RO2953",21,20.81,NA,NA,1996,2081,-9.764905,-65.735686
"ctb0033-RO2954",21,22.36,4995,3912,1996,2236,-9.71055556,-65.58722222
"ctb0033-RO2977",21,20.57,3678,3639,1996,2057,-9.82361111,-66.63833333
"ctb0033-RO2994",21,20.35,NA,NA,1996,2035,-9.86916667,-66.42805556
"ctb0033-RO3079",21,21.59,3710,3598,1996,2159,-11.24916667,-61.29638889
"ctb0033-RO3139",21,20.45,3535,3464,1996,2045,-11.58166667,-61.20611111
"ctb0033-RO3201",21,20.62,3221,3189,1996,2062,-9.765,-62.3025
"ctb0033-RO3338",21,20.4,3411,3346,1996,2040,-9.54888889,-65.04916667
"ctb0033-RO3350",21,20.66,3819,3698,1996,2066,-9.43416667,-64.83555556
"ctb0033-RO3362",21,23.37,3656,3609,1996,2337,-11.64194444,-61.78166667
"ctb0033-RO3363",21,21.68,3581,3478,1996,2168,-11.6725,-61.77944444
"ctb0033-RO3385",21,21.03,3554,3403,1996,2103,-11.88694444,-61.59388889
"ctb0033-RO3387",21,20.89,3663,3624,1996,2089,-11.78861111,-61.66805556
"ctb0033-RO3401",21,21.36,3460,3417,1996,2136,-9.08777778,-62.54638889
"ctb0033-RO3410",21,21.12,3261,3209,1996,2112,-9.25111111,-62.67527778
"ctb0033-RO3412",21,21.4,3304,3223,1996,2140,-9.12666667,-62.71583333
"ctb0033-RO3423",21,21.09,3320,3273,1996,2109,-9.67388889,-62.63
"ctb0033-RO3437",21,22.24,3467,3376,1996,2224,-9.75333333,-62.62555556
"ctb0033-RO3477",21,21.08,3688,3665,1996,2108,-10.06805556,-62.68277778
"ctb0033-RO3529",21,21.1,3568,3545,1996,2110,-10.55416667,-62.09055556
"ctb0033-RO3533",21,20.71,3486,3279,1996,2071,-10.56972222,-62.26805556
"ctb0033-RO3541",21,21.33,3222,3159,1996,2133,-10.325,-62.25138889
"ctb0033-RO3561",21,21.59,3560,3468,1996,2159,-10.02444444,-62.13388889
"ctb0033-RO3566",21,21.23,3180,3126,1996,2123,-10.17472222,-62.1675
"ctb0033-RO3675",21,19.78,3635,3448,1996,1978,-11.38944444,-62.17861111
"ctb0033-RO3742",21,20.65,4007,3867,1996,2065,-8.63638889,-63.98027778
"ctb0033-RO3767",21,21.4,3230,3151,1996,2140,-11.17777778,-61.75333333
"ctb0033-RO3772",21,21.5,3612,3561,1996,2150,-11.34138889,-61.78583333
"ctb0033-RO3779",21,22.19,3549,3545,1996,2219,-10.93861111,-61.72611111
"ctb0033-RO3864",21,21.49,3849,3679,1996,2149,-11.73277778,-62.385
"ctb0033-RO3866",21,22.13,3882,3755,1996,2213,-11.84527778,-62.38444444
"ctb0033-RO3884",21,20.96,3798,3695,1996,2096,-11.71444444,-62.2
"ctb0033-RO3909",21,21.87,3590,3449,1996,2187,-11.91527778,-61.81527778
"ctb0033-RO3914",21,20.73,3680,3569,1996,2073,-11.71722222,-61.96305556
"ctb0033-RO3930",21,20.47,3925,3818,1996,2047,-11.74055556,-62.24027778
"ctb0033-RO3943",21,22.38,3726,3697,1996,2238,-11.65055556,-62.10916667
"ctb0033-RO3944",21,21.4,3618,3599,1996,2140,-11.57194444,-62.105
"ctb0033-RO1013",22,21.74,3289,3225,1996,2174,-12.07916667,-64.105
"ctb0033-RO1024",22,23.99,3312,3239,1996,2399,-12.12,-63.82111111
"ctb0033-RO1073",22,22.02,4763,4284,1996,2202,-12.28583333,-63.79638889
"ctb0033-RO1228",22,21.73,3801,3488,1996,2173,-12.52444444,-63.01861111
"ctb0033-RO1231",22,21.11,4167,3997,1996,2111,-12.52472222,-63.00861111
"ctb0033-RO1250",22,22.55,3631,3248,1996,2255,-12.35916667,-63.46694444
"ctb0033-RO1275",22,22.05,3872,3679,1996,2205,-11.91222222,-64.21611111
"ctb0033-RO1346",22,26.03,3170,3105,1996,2603,-10.425,-63.96305556
"ctb0033-RO1527",22,21.16,4586,4040,1996,2116,-12.61083333,-60.99138889
"ctb0033-RO1547",22,22.16,4010,3934,1996,2216,-12.3325,-60.88805556
"ctb0033-RO1558",22,21.37,4438,4396,1996,2137,-12.48,-59.97194444
"ctb0033-RO1681",22,21.87,3504,3439,1996,2187,-12.41888889,-60.56444444
"ctb0033-RO1800",22,22.42,3610,3464,1996,2242,-12.94861111,-60.32388889
"ctb0033-RO1833",22,21.74,4331,4287,1996,2174,-13.32527778,-60.82861111
"ctb0033-RO1873",22,21.82,4286,4221,1996,2182,-13.58361111,-60.84833333
"ctb0033-RO2003",22,21.43,3555,3503,1996,2143,-10.74361111,-65.27083333
"ctb0033-RO2080",22,22.08,3654,3597,1996,2208,-9.24722222,-64.41388889
"ctb0033-RO2156",22,21.05,3450,3326,1996,2105,-11.29055556,-64.83416667
"ctb0033-RO2273",22,21.94,4230,4079,1996,2194,-11.99666667,-61.51388889
"ctb0033-RO2302",22,21.24,4236,4145,1996,2124,-12.32861111,-61.54388889
"ctb0033-RO2322",22,23.22,4392,4195,1996,2322,-8.11611111,-63.01305556
"ctb0033-RO2340",22,22.53,3908,3812,1996,2253,-8.35111111,-63.00166667
"ctb0033-RO2342",22,21.58,3495,3407,1996,2158,-8.20888889,-62.98444444
"ctb0033-RO2384",22,22.45,3711,3687,1996,2245,-8.69694444,-63.84611111
"ctb0033-RO2425",22,21.15,4175,3939,1996,2115,-12.35694444,-62.06361111
"ctb0033-RO2472",22,21.97,4248,4077,1996,2197,-12.34388889,-61.94944444
"ctb0033-RO2547",22,22.7,3679,3601,1996,2270,-12.78388889,-61.40944444
"ctb0033-RO2564",22,22.19,4095,4030,1996,2219,-12.30416667,-61.10222222
"ctb0033-RO2653",22,21.84,4684,4160,1996,2184,-13.44,-61.42666667
"ctb0033-RO2668",22,22.15,3770,3665,1996,2215,-12.80805556,-62.27805556
"ctb0033-RO2683",22,21.95,3437,3335,1996,2195,-9.76138889,-61.98527778
"ctb0033-RO2814",22,21.99,3907,3852,1996,2199,-11.7675,-60.88138889
"ctb0033-RO3022",22,20.58,4816,4411,1996,2058,-12.24166667,-62.57888889
"ctb0033-RO3026",22,21.26,4525,3932,1996,2126,-12.15722222,-62.60361111
"ctb0033-RO3077",22,21.59,3664,3563,1996,2159,-11.37916667,-61.29666667
"ctb0033-RO3135",22,22.06,3819,3760,1996,2206,-11.50388889,-61.17027778
"ctb0033-RO3200",22,21.75,3858,3776,1996,2175,-9.76916667,-62.25333333
"ctb0033-RO3239",22,22.43,3811,3704,1996,2243,-9.28916667,-62.105
"ctb0033-RO3250",22,21.36,3365,3245,1996,2136,-9.31222222,-61.87611111
"ctb0033-RO3290",22,22.59,3250,3176,1996,2259,-9.6725,-62.27611111
"ctb0033-RO3315",22,22.36,3362,3272,1996,2236,-9.57083333,-64.80361111
"ctb0033-RO3330",22,23.85,0,0,1996,2385,-9.42055556,-65.08055556
"ctb0033-RO3339",22,21.89,4018,3984,1996,2189,-9.52361111,-65.04111111
"ctb0033-RO3434",22,22.48,3502,3449,1996,2248,-9.75055556,-62.83194444
"ctb0033-RO3454",22,21.41,3971,3915,1996,2141,-9.13638889,-61.6125
"ctb0033-RO3456",22,21.59,3522,3435,1996,2159,-9.05111111,-61.61277778
"ctb0033-RO3464",22,21.41,3445,3416,1996,2141,-8.99833333,-61.68333333
"ctb0033-RO3482",22,22.37,3204,3159,1996,2237,-10.02277778,-62.72222222
"ctb0033-RO3499",22,22.67,3698,3540,1996,2267,-10.8275,-62.20805556
"ctb0033-RO3512",22,21.83,3429,3348,1996,2183,-10.67666667,-61.89166667
"ctb0033-RO3540",22,21.86,3193,3111,1996,2186,-10.38527778,-62.31416667
"ctb0033-RO3563",22,21.53,3259,3160,1996,2153,-10.05888889,-62.1675
"ctb0033-RO3642",22,23.86,3193,3148,1996,2386,-11.18388889,-62.48722222
"ctb0033-RO3651",22,22.5,3826,3747,1996,2250,-11.44166667,-62.54666667
"ctb0033-RO3684",22,22.19,3255,3176,1996,2219,-11.50861111,-61.60611111
"ctb0033-RO3754",22,21.35,3666,3609,1996,2135,-11.35944444,-61.58944444
"ctb0033-RO3771",22,23.38,4279,4209,1996,2338,-11.25583333,-61.84333333
"ctb0033-RO3787",22,22.35,3668,3668,1996,2235,-10.83138889,-61.76416667
"ctb0033-RO3870",22,22.66,3517,3243,1996,2266,-11.71833333,-62.38472222
"ctb0033-RO3901",22,21.74,3403,3278,1996,2174,-11.49916667,-61.875
"ctb0033-RO1012",23,22.85,4170,3776,1996,2285,-12.0475,-64.115
"ctb0033-RO1054",23,23.34,3497,3173,1996,2334,-12.16611111,-64.06666667
"ctb0033-RO1109",23,23.51,3159,3127,1996,2351,-11.92194444,-63.39083333
"ctb0033-RO1211",23,26.37,3293,3155,1996,2637,-12.05472222,-63.49527778
"ctb0033-RO1258",23,23.32,NA,NA,1996,2332,-11.80166667,-64.10388889
"ctb0033-RO1284",23,23.02,3413,3168,1996,2302,-12.03166667,-63.99694444
"ctb0033-RO1370",23,24.12,3740,3632,1996,2412,-10.04138889,-63.37472222
"ctb0033-RO1528",23,21.76,4413,4301,1996,2176,-12.64166667,-60.88472222
"ctb0033-RO1552",23,22.68,4243,4114,1996,2268,-12.3675,-59.85416667
"ctb0033-RO1560",23,23.19,4271,4207,1996,2319,-12.76027778,-60.29777778
"ctb0033-RO1617",23,23.67,4740,4656,1996,2367,-12.96333333,-60.72722222
"ctb0033-RO1671",23,22.85,4230,4083,1996,2285,-12.47027778,-60.15722222
"ctb0033-RO1769",23,23.25,4458,4396,1996,2325,-13.47861111,-60.58666667
"ctb0033-RO1811",23,22.43,3949,3942,1996,2243,-12.90694444,-61.08
"ctb0033-RO1813",23,23.31,3951,3921,1996,2331,-12.96527778,-61.05388889
"ctb0033-RO1834",23,22.26,4368,4304,1996,2226,-13.33583333,-60.76416667
"ctb0033-RO1880",23,22.81,4988,4545,1996,2281,-13.32861111,-61.01833333
"ctb0033-RO2117",23,22.33,3569,3462,1996,2233,-10.31694444,-64.51833333
"ctb0033-RO2168",23,22.88,3311,3237,1996,2288,-11.16277778,-64.83638889
"ctb0033-RO2221",23,22.56,4304,4176,1996,2256,-12.52388889,-60.21027778
"ctb0033-RO2330",23,23.49,3197,3140,1996,2349,-8.29138889,-62.89166667
"ctb0033-RO2355",23,22.12,4138,4031,1996,2212,-8.91555556,-63.64361111
"ctb0033-RO2465",23,23.24,3858,3729,1996,2324,-12.67027778,-61.90916667
"ctb0033-RO2523",23,27.61,3363,3302,1996,2761,-12.8675,-61.03694444
"ctb0033-RO2535",23,22.47,4140,4111,1996,2247,-12.89972222,-61.33666667
"ctb0033-RO2542",23,22.5,4241,4170,1996,2250,-12.63972222,-61.225
"ctb0033-RO2543",23,23.04,4649,4560,1996,2304,-12.67194444,-61.28694444
"ctb0033-RO2554",23,22.5,3481,3412,1996,2250,-12.53861111,-61.28138889
"ctb0033-RO2806",23,28.12,3421,3327,1996,2812,-11.79722222,-61.40611111
"ctb0033-RO2819",23,22.68,3516,3442,1996,2268,-11.97833333,-60.95527778
"ctb0033-RO2901",23,22.07,3278,3238,1996,2207,-9.30861111,-64.61388889
"ctb0033-RO2908",23,22.87,3335,3288,1996,2287,-9.46722222,-64.65222222
"ctb0033-RO2965",23,23.15,3467,3422,1996,2315,-9.57416667,-65.97416667
"ctb0033-RO3025",23,22.74,3823,3697,1996,2274,-12.19416667,-62.60833333
"ctb0033-RO3027",23,24.76,3580,3356,1996,2476,-12.11555556,-62.61777778
"ctb0033-RO3072",23,24.52,4143,4055,1996,2452,-11.25722222,-61.33361111
"ctb0033-RO3108",23,22.18,3306,3225,1996,2218,-11.65361111,-61.54027778
"ctb0033-RO3210",23,23.06,3168,3126,1996,2306,-9.87944444,-62.16083333
"ctb0033-RO3217",23,22.32,3188,3126,1996,2232,-9.91416667,-62.26555556
"ctb0033-RO3232",23,23.35,3643,3504,1996,2335,-8.92666667,-62.14694444
"ctb0033-RO3238",23,23.25,3287,3238,1996,2325,-9.31972222,-62.14666667
"ctb0033-RO3244",23,22.88,3571,3497,1996,2288,-9.20666667,-62.20305556
"ctb0033-RO3256",23,22.34,3518,3450,1996,2234,-9.49777778,-61.66972222
"ctb0033-RO3292",23,23.05,3266,3208,1996,2305,-9.71805556,-62.32611111
"ctb0033-RO3317",23,22.54,3405,3363,1996,2254,-9.61083333,-64.75083333
"ctb0033-RO3319",23,22.64,3832,3698,1996,2264,-9.57222222,-65.00277778
"ctb0033-RO3327",23,23.59,3806,3783,1996,2359,-9.44583333,-65.01972222
"ctb0033-RO3333",23,22.61,4138,4183,1996,2261,-9.495,-65.04694444
"ctb0033-RO3334",23,24.89,0,0,1996,2489,-9.50722222,-65.12916667
"ctb0033-RO3349",23,21.75,5749,3907,1996,2175,-9.40416667,-64.83527778
"ctb0033-RO3366",23,22.85,3514,3447,1996,2285,-11.62555556,-61.66805556
"ctb0033-RO3426",23,23.35,3436,3344,1996,2335,-9.615,-62.5475
"ctb0033-RO3446",23,23.95,3119,3087,1996,2395,-9.93277778,-62.73694444
"ctb0033-RO3463",23,22.14,4257,4187,1996,2214,-8.94805556,-61.63611111
"ctb0033-RO3468",23,22.34,3513,3462,1996,2234,-8.99277778,-61.90527778
"ctb0033-RO3493",23,23.46,4029,3851,1996,2346,-10.87,-62.495
"ctb0033-RO3516",23,22.13,3387,3181,1996,2213,-10.56583333,-61.92138889
"ctb0033-RO3588",23,21.78,3424,3342,1996,2178,-8.38138889,-62.89138889
"ctb0033-RO3665",23,22.47,3803,3680,1996,2247,-11.46944444,-62.14222222
"ctb0033-RO3667",23,21.75,3202,3160,1996,2175,-11.35694444,-62.03166667
"ctb0033-RO3794",23,23.26,3486,3309,1996,2326,-11.05888889,-61.90777778
"ctb0033-RO3855",23,22.53,3311,3192,1996,2253,-11.74,-62.64388889
"ctb0033-RO3894",23,23.36,3421,3369,1996,2336,-9.12833333,-64.27194444
"ctb0033-RO3896",23,24.28,3475,3393,1996,2428,-9.1775,-64.25111111
"ctb0033-RO1002",24,25.06,4587,4125,1996,2506,-12.34638889,-64.23555556
"ctb0033-RO1074",24,23.94,3504,3230,1996,2394,-12.02194444,-63.97138889
"ctb0033-RO1256",24,23.22,3673,3467,1996,2322,-12.43694444,-63.71111111
"ctb0033-RO1298",24,24.46,3859,3727,1996,2446,-11.56944444,-64.00666667
"ctb0033-RO1342",24,24.53,3313,3272,1996,2453,-10.33416667,-63.69277778
"ctb0033-RO1349",24,25.4,3209,3112,1996,2540,-10.47944444,-63.40055556
"ctb0033-RO1368",24,24.96,3872,3504,1996,2496,-10.04166667,-63.36972222
"ctb0033-RO1500",24,23.35,4436,4395,1996,2335,-12.48361111,-59.99527778
"ctb0033-RO1535",24,24.48,3296,3257,1996,2448,-12.69583333,-60.87444444
"ctb0033-RO1571",24,23.84,3548,3467,1996,2384,-12.95444444,-60.40888889
"ctb0033-RO1633",24,25.38,4056,3983,1996,2538,-12.81694444,-61.22
"ctb0033-RO1663",24,24.12,4159,4082,1996,2412,-12.55833333,-60.37861111
"ctb0033-RO1665",24,23.49,4023,3954,1996,2349,-12.44361111,-60.18583333
"ctb0033-RO1677",24,24.12,3806,3554,1996,2412,-12.22277778,-60.55444444
"ctb0033-RO1822",24,24.31,0,0,1996,2431,-12.96277778,-60.99972222
"ctb0033-RO1882",24,23.81,4838,4513,1996,2381,-13.37083333,-61.02777778
"ctb0033-RO2095",24,23.96,3588,3360,1996,2396,-10.71305556,-65.26583333
"ctb0033-RO2114",24,25.84,3167,3126,1996,2584,-10.3225,-64.59666667
"ctb0033-RO2127",24,24.06,3541,3496,1996,2406,-11.895,-64.97777778
"ctb0033-RO2173",24,23.66,3459,3369,1996,2366,-11.22083333,-65.08722222
"ctb0033-RO2287",24,24.12,3410,3311,1996,2412,-12.17888889,-61.62611111
"ctb0033-RO2308",24,23.85,3648,3467,1996,2385,-12.43194444,-61.86333333
"ctb0033-RO2313",24,23.69,4215,4114,1996,2369,-12.14888889,-61.79333333
"ctb0033-RO2363",24,24.38,4217,4238,1996,2438,-8.71361111,-63.6075
"ctb0033-RO2481",24,23.35,3605,3406,1996,2335,-12.23,-61.91083333
"ctb0033-RO2534",24,23.83,3912,3870,1996,2383,-12.90027778,-61.37638889
"ctb0033-RO2680",24,24,3298,3204,1996,2400,-9.7125,-61.97527778
"ctb0033-RO2686",24,24.55,3304,3181,1996,2455,-9.51527778,-61.98416667
"ctb0033-RO2699",24,24.51,3171,3087,1996,2451,-9.77388889,-62.225
"ctb0033-RO2859",24,25.23,4696,4626,1996,2523,-11.5775,-60.54777778
"ctb0033-RO2876",24,23.66,3444,3363,1996,2366,-11.92972222,-60.81166667
"ctb0033-RO2950",24,24.14,3682,3533,1996,2414,-9.80777778,-65.70361111
"ctb0033-RO2967",24,24.37,3683,3596,1996,2437,-9.6025,-66.005
"ctb0033-RO2991",24,24.32,3503,3477,1996,2432,-9.59416667,-66.32055556
"ctb0033-RO2995",24,24.55,3967,3856,1996,2455,-9.84138889,-66.41972222
"ctb0033-RO3049",24,23.98,3525,3371,1996,2398,-11.13444444,-61.46944444
"ctb0033-RO3081",24,24.4,4049,3952,1996,2440,-11.33833333,-61.2575
"ctb0033-RO3083",24,23.96,0,0,1996,2396,-11.47027778,-61.47305556
"ctb0033-RO3202",24,23.6,3236,3196,1996,2360,-9.75777778,-62.32972222
"ctb0033-RO3209",24,23.4,3320,3207,1996,2340,-9.83277778,-62.37083333
"ctb0033-RO3252",24,25.72,3440,3375,1996,2572,-8.91666667,-62.06194444
"ctb0033-RO3262",24,24.7,3327,3289,1996,2470,-9.27444444,-62.21944444
"ctb0033-RO3263",24,24.95,3310,3271,1996,2495,-9.24138889,-62.25527778
"ctb0033-RO3297",24,23.62,3416,3303,1996,2362,-9.29,-62.49944444
"ctb0033-RO3320",24,23.59,4507,4090,1996,2359,-9.59694444,-64.94416667
"ctb0033-RO3361",24,24.3,3479,3462,1996,2430,-11.6425,-61.78638889
"ctb0033-RO3369",24,23.96,3168,3116,1996,2396,-11.52083333,-61.6675
"ctb0033-RO3376",24,29.55,3785,3734,1996,2955,-11.715,-61.59277778
"ctb0033-RO3397",24,24.42,3276,3175,1996,2442,-11.715,-61.85138889
"ctb0033-RO3399",24,22.67,3601,3455,1996,2267,-11.62305556,-61.85333333
"ctb0033-RO3413",24,24.72,3269,3238,1996,2472,-9.3525,-62.56444444
"ctb0033-RO3430",24,24.24,3624,3573,1996,2424,-9.77305556,-62.89916667
"ctb0033-RO3459",24,23.94,4584,4318,1996,2394,-8.97138889,-61.53361111
"ctb0033-RO3524",24,24.96,3667,3624,1996,2496,-10.43944444,-62.01944444
"ctb0033-RO3552",24,26.29,3223,3173,1996,2629,-10.25666667,-62.4175
"ctb0033-RO3594",24,23.03,4006,3898,1996,2303,-8.31555556,-62.99
"ctb0033-RO3628",24,24.94,3288,3191,1996,2494,-10.99416667,-62.27916667
"ctb0033-RO3649",24,24.19,3786,3697,1996,2419,-11.33416667,-62.56333333
"ctb0033-RO3672",24,23.77,3306,3176,1996,2377,-11.45222222,-62.02777778
"ctb0033-RO3711",24,23.49,3781,3696,1996,2349,-8.91583333,-63.76277778
"ctb0033-RO3715",24,24.3,4034,3923,1996,2430,-8.73444444,-64.13416667
"ctb0033-RO3755",24,24.09,3382,3286,1996,2409,-11.28138889,-61.58972222
"ctb0033-RO3836",24,25.02,3390,3328,1996,2502,-11.55138889,-62.58166667
"ctb0033-RO3876",24,24.82,3292,3181,1996,2482,-11.68222222,-62.33
"ctb0033-RO3900",24,22.79,3488,3369,1996,2279,-11.5725,-61.84694444
"ctb0033-RO3917",24,24.61,4418,4395,1996,2461,-11.87,-61.95722222
"ctb0033-RO3929",24,24.29,4644,4571,1996,2429,-11.85444444,-62.20694444
"ctb0033-RO1020",25,24.25,5204,4021,1996,2425,-12.21444444,-64.18638889
"ctb0033-RO1053",25,28.79,3452,3249,1996,2879,-12.37166667,-64.23388889
"ctb0033-RO1128",25,24.74,3653,3511,1996,2474,-11.93305556,-62.75722222
"ctb0033-RO1257",25,24.55,3667,3406,1996,2455,-11.80055556,-64.1
"ctb0033-RO1274",25,25.06,3540,3462,1996,2506,-11.9075,-64.14333333
"ctb0033-RO1297",25,25.15,3488,3429,1996,2515,-11.56194444,-64.01083333
"ctb0033-RO1350",25,28.83,3227,3187,1996,2883,-10.47638889,-63.45611111
"ctb0033-RO1367",25,28.21,3189,3144,1996,2821,-10.02388889,-63.35611111
"ctb0033-RO1372",25,27.13,3602,3543,1996,2713,-10.00888889,-63.42972222
"ctb0033-RO1447",25,25.37,3291,3232,1996,2537,-9.41138889,-63.26638889
"ctb0033-RO1631",25,25.84,3694,3625,1996,2584,-12.89888889,-61.17583333
"ctb0033-RO1808",25,23.98,4245,4203,1996,2398,-13.25972222,-61.00138889
"ctb0033-RO2002",25,24.94,3620,3514,1996,2494,-10.09694444,-65.275
"ctb0033-RO2059",25,26.01,3396,3249,1996,2601,-10.45027778,-65.36833333
"ctb0033-RO2099",25,29.45,3372,3243,1996,2945,-10.59361111,-64.97638889
"ctb0033-RO2207",25,24.55,4330,4211,1996,2455,-12.95222222,-60.13388889
"ctb0033-RO2311",25,25.38,3936,3915,1996,2538,-12.37277778,-61.73833333
"ctb0033-RO2349",25,25.25,3608,3562,1996,2525,-8.86638889,-63.53361111
"ctb0033-RO2368",25,24.15,4038,3983,1996,2415,-8.95972222,-63.16444444
"ctb0033-RO2390",25,24.72,3878,3807,1996,2472,-8.62583333,-63.64138889
"ctb0033-RO2531",25,24.77,4007,3887,1996,2477,-12.90027778,-61.44055556
"ctb0033-RO2570",25,24.73,3403,3342,1996,2473,-12.13166667,-61.21388889
"ctb0033-RO2608",25,24.92,3720,3599,1996,2492,-12.17638889,-61.37083333
"ctb0033-RO2609",25,24.96,4313,4183,1996,2496,-12.17666667,-61.33666667
"ctb0033-RO2624",25,25.32,3875,3713,1996,2532,-12.83694444,-62.90277778
"ctb0033-RO2629",25,24.56,4705,4507,1996,2456,-13.07611111,-62.495
"ctb0033-RO2692",25,24.81,3359,3243,1996,2481,-9.68305556,-62.07027778
"ctb0033-RO2696",25,25.07,3582,3512,1996,2507,-9.73472222,-62.14305556
"ctb0033-RO2808",25,25.49,3408,3265,1996,2549,-11.83944444,-61.09166667
"ctb0033-RO2851",25,30,3490,3327,1996,3000,-11.11361111,-60.77916667
"ctb0033-RO2919",25,24.07,3861,3789,1996,2407,-9.67527778,-65.40138889
"ctb0033-RO2944",25,24.38,4053,4049,1996,2438,-9.66861111,-65.44972222
"ctb0033-RO2963",25,29.78,3338,3245,1996,2978,-9.465,-65.98138889
"ctb0033-RO3002",25,24.19,3706,3424,1996,2419,-12.52444444,-63.01666667
"ctb0033-RO3023",25,25.2,4751,4158,1996,2520,-12.24833333,-62.59111111
"ctb0033-RO3036",25,25.82,3818,3663,1996,2582,-12.01916667,-62.47138889
"ctb0033-RO3140",25,25.22,3479,3301,1996,2522,-11.5375,-61.20777778
"ctb0033-RO3222",25,24.16,3431,3415,1996,2416,-9.32083333,-61.92277778
"ctb0033-RO3230",25,25.48,3284,3227,1996,2548,-9.22333333,-62.05166667
"ctb0033-RO3245",25,24.32,3369,3330,1996,2432,-9.34027778,-61.81722222
"ctb0033-RO3254",25,25.48,3333,3270,1996,2548,-9.17861111,-62.05527778
"ctb0033-RO3267",25,24.29,3452,3374,1996,2429,-8.86,-62.07916667
"ctb0033-RO3273",25,25.48,3430,3400,1996,2548,-9.305,-62.40527778
"ctb0033-RO3283",25,25.1,3388,3245,1996,2510,-9.63888889,-62.14833333
"ctb0033-RO3286",25,25.33,3472,3306,1996,2533,-9.54472222,-62.29666667
"ctb0033-RO3289",25,26.75,3298,3236,1996,2675,-9.58583333,-62.3775
"ctb0033-RO3310",25,25.35,3744,3687,1996,2535,-9.37555556,-64.51611111
"ctb0033-RO3322",25,32.75,3395,3310,1996,3275,-9.57277778,-64.86611111
"ctb0033-RO3323",25,25.71,3521,3456,1996,2571,-9.51472222,-64.78083333
"ctb0033-RO3378",25,23.76,3391,3289,1996,2376,-11.68972222,-61.49972222
"ctb0033-RO3439",25,24.92,3433,3369,1996,2492,-9.89166667,-62.78333333
"ctb0033-RO3448",25,25.61,3341,3285,1996,2561,-9.84111111,-62.75333333
"ctb0033-RO3490",25,25.67,3263,3192,1996,2567,-10.20055556,-62.58333333
"ctb0033-RO3545",25,24.47,3144,3095,1996,2447,-10.18833333,-62.01666667
